,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,company_ticker
Value,False,False,False,12.31,False,False,False,False,False,0,107,6.67,0,False,False,31.78,2,LEAD_PERF,False,False,False,67.35,Utilities,False,12.8,0,False,ATO
Value,False,False,False,12.48,False,False,False,False,False,0,105,6.49,0,False,False,19.12,4,LAG_PERF,False,False,False,21.2,Software & Services,False,0.15,0,False,ATVI
Value,False,False,False,2.92,False,False,False,False,False,0,108,4.4,0,False,False,10.28,0,LAG_PERF,False,False,False,2.34,Real Estate,False,2.95,0,False,AVB
Value,False,False,False,8.66,False,False,False,False,False,0,31,7.8,0,False,False,25.42,3,,False,False,False,43.74,Semiconductors,False,8.96,0,False,AVGO
Value,False,False,False,1.93,False,False,False,False,False,0,11,3.66,0,True,False,17.64,1,LAG_PERF,False,False,False,16.64,Containers & Packaging,False,12.05,0,False,AVY
Value,False,False,False,9.08,False,False,False,False,False,0,107,5.27,0,False,False,27.45,1,,False,False,False,51.63,Utilities,False,13.1,0,False,AWK
Value,False,False,False,11.78,False,False,False,False,False,0,89,8.51,0,False,False,20.34,2,,False,False,False,25.25,Diversified Financials,False,0.05,0,False,AXP
Value,False,False,False,7.17,False,False,False,False,False,0,57,4.12,0,False,False,11.34,2,LAG_PERF,False,False,False,3.41,Retailing,False,0.05,0,False,AZO
Value,False,True,False,19.72,False,False,False,False,False,0,22,7.87,0,False,False,34.68,4,LEAD_PERF,False,False,False,76.45,Aerospace & Defense,False,7.08,0,True,BA
Value,False,False,False,14.37,False,False,False,False,False,0,175,11.28,0,False,False,27.27,3,,False,False,False,50.84,Banks,False,1.62,0,False,BAC
Value,False,False,False,15.59,False,False,False,False,False,0,58,8.97,0,True,False,27.1,2,,False,False,False,50.26,Healthcare,False,2.55,0,False,BAX
Value,False,False,False,7.78,False,False,False,False,False,0,57,6.12,0,False,False,16.37,2,LAG_PERF,False,False,False,13.16,Retailing,False,2.48,0,False,BBWI
Value,False,False,False,7.26,False,False,False,False,False,0,57,4.85,0,False,False,14.33,2,LAG_PERF,False,False,False,8.48,Retailing,False,2.22,0,False,BBY
Value,False,False,False,15.14,False,False,False,False,True,0,58,9.34,0,True,False,28.31,3,,False,False,False,54.83,Healthcare,False,3.83,0,False,BDX
Value,False,False,False,9.27,False,False,False,False,False,0,89,9.07,0,False,False,19.51,2,LAG_PERF,False,False,False,22.4,Diversified Financials,False,1.16,0,False,BEN
Value,False,False,False,9.9,False,False,True,False,False,0,94,5.64,0,False,False,22.36,1,,False,False,False,32.17,Food Products,False,6.82,0,False,BF-B
Value,False,False,False,12.76,False,False,False,False,True,0,83,7.85,0,True,False,20.62,2,,False,False,False,26.14,Pharmaceuticals,False,0.02,0,False,BIIB
Value,False,False,False,12.3,False,False,False,False,True,0,83,6.9,0,True,False,20.69,2,,False,False,False,26.42,Pharmaceuticals,False,1.49,0,False,BIO
Value,False,False,False,9.83,False,False,False,False,False,0,89,10.99,0,False,False,22.79,3,,False,False,False,33.78,Diversified Financials,False,1.97,0,False,BK
Value,False,False,False,12.45,False,False,False,False,False,0,105,7.18,0,False,False,21.65,2,,False,False,False,29.6,Software & Services,False,2.02,0,False,BKNG
Value,False,False,False,9.7,False,False,False,False,False,0,89,9.48,0,False,False,20.66,2,,False,False,False,26.33,Diversified Financials,False,1.49,0,False,BLK
Value,False,False,False,1.27,False,False,False,False,False,0,11,3.94,0,False,False,13.83,2,LAG_PERF,False,False,False,7.49,Containers & Packaging,False,8.62,0,True,BLL
Value,False,False,False,14.93,False,False,False,False,True,0,83,7.21,0,True,False,22.47,2,,False,False,False,32.58,Pharmaceuticals,False,0.33,0,False,BMY
Value,False,False,False,9.01,False,False,False,False,False,0,105,6.62,0,False,False,16.45,2,LAG_PERF,False,False,False,13.39,Software & Services,False,0.82,0,False,BR
Value,False,False,False,3.8,False,False,False,False,False,0,89,11.97,0,True,False,16.35,1,LAG_PERF,True,False,False,13.12,Diversified Financials,False,0.58,0,False,BRK-B
Value,False,False,False,10.89,False,False,False,False,False,0,97,12.82,0,False,False,23.89,1,,False,False,False,37.8,Insurance,False,0.18,0,False,BRO
Value,False,False,False,13,False,False,False,False,False,0,58,10.09,0,True,False,25.84,2,,False,False,False,45.49,Healthcare,False,2.75,0,False,BSX
Value,False,False,False,4.33,False,False,False,False,False,0,25,6.52,0,False,False,13.44,2,LAG_PERF,False,False,False,6.69,Auto Components,False,2.6,0,False,BWA
Value,False,False,False,4.95,False,False,False,False,False,0,108,5.11,0,False,False,13.57,1,LAG_PERF,False,False,False,6.96,Real Estate,False,3.51,0,False,BXP
Value,False,False,False,12.77,False,False,False,False,False,0,175,13.34,0,False,False,27.77,4,,False,False,False,52.91,Banks,False,1.66,0,False,C
Value,False,False,False,16.45,False,False,False,False,False,0,94,4.77,0,False,False,32.92,2,LEAD_PERF,False,False,False,71.08,Food Products,False,11.7,0,False,CAG
